Index,Organization Id,Name,Website,Country,Description,Founded,Industry,Number of employees
26,8eb91E6eeDBC2A5,Wolf Group,https://aguilar-solomon.net/,Cayman Islands,Public-key value-added alliance,1984,Package / Freight Delivery,4509
27,fDaeD26dB6fd79a,"Horne, Bailey and Oconnor",https://cruz.com/,Western Sahara,Customer-focused needs-based service-desk,1973,Wholesale,2670
28,19Bbb8dB90dFaFF,Cobb Inc,http://miles.com/,Netherlands,Assimilated local ability,2008,Political Organization,2494
29,00AF7EacF3fEb91,Parrish-Peterson,https://strong.org/,France,Multi-lateral encompassing structure,2004,Political Organization,9059
30,8Ec27fFD6b945A9,"Barron, Hughes and Pham",https://mata.org/,Aruba,Progressive motivating array,1995,Shipbuilding,3112
31,a17Dce59Cdc443D,Glass-Schneider,https://www.francis.biz/,Cuba,Universal scalable productivity,1998,Information Services,2549
32,8bE077ccdc71309,Greer-Hess,http://www.moran-mack.com/,Norway,Innovative disintermediate data-warehouse,2007,Railroad Manufacture,796
33,EBdD33D3A7Cb9CA,Stanley Inc,http://www.holt.com/,Cayman Islands,Decentralized 24/7 framework,1972,Government Administration,4573
34,43aB62eF7202ad8,Poole-Bradley,https://www.gilmore-ramsey.org/,Egypt,Optimized web-enabled installation,1976,Computer Networking,603
35,A61353082b86692,"Parsons, Hendricks and Wilkins",https://www.farrell-palmer.biz/,Guinea,Realigned fault-tolerant product,2012,Furniture,1053
36,3Bbf472F4dd6C4A,Thomas and Sons,https://norman-jefferson.net/,Iceland,Networked explicit neural-net,2007,Printing,882
37,4031edd6A931AF9,Hurley and Sons,https://www.andersen-leblanc.com/,Timor-Leste,Enterprise-wide national productivity,2014,Human Resources / HR,6209
38,b397BE55a1bbBFA,Hale-Christian,https://www.alvarado.com/,Barbados,Robust attitude-oriented forecast,2002,International Affairs,7982
39,B7F0ceb1CBC8dD1,Mitchell PLC,https://barnett.org/,Bermuda,Robust well-modulated hub,1996,Consumer Goods,9537
40,DAcD6D52D70fA57,Stein Group,https://www.hanna-herring.com/,Croatia,Optional attitude-oriented standardization,1972,Online Publishing,9597
41,cbBeE27FDCFEfbE,Romero and Sons,https://www.campbell.com/,Switzerland,Team-oriented contextually-based open system,1982,Photography,8737
42,65Baf2AAA42c6B4,Snow Group,https://www.townsend.biz/,Comoros,Quality-focused multimedia matrices,1981,Media Production,8983
43,E1f1eC2A1F2Db87,"Ware, Harvey and Chapman",http://www.harmon-patrick.com/,Congo,Profound incremental neural-net,1990,Banking / Mortgage,3036
44,B94DA9e4a92EB6F,Watts-Juarez,http://mahoney-velez.net/,French Polynesia,Face-to-face user-facing open architecture,1996,Supermarkets,3690
45,4fC92d3D243CB34,Hammond and Sons,https://clay.net/,Burundi,Open-architected web-enabled workforce,2016,Hospital / Health Care,2947
46,DF1EB98C23BA02c,"Conway, Fernandez and Mercado",https://www.mahoney.com/,British Virgin Islands,Advanced cohesive array,1980,Construction,8238
47,8F18a05f1aBAa5c,Thompson and Sons,https://solomon-haley.com/,Palestinian Territory,Customer-focused non-volatile initiative,1976,Recreational Facilities / Services,9624
48,4a22cF24eA08f91,Shepard Ltd,http://fletcher.com/,Lithuania,Operative disintermediate knowledge user,2009,Publishing Industry,7549
49,4e144Cac35c806C,Merritt PLC,http://www.clay.com/,Gabon,Implemented global parallelism,1997,Computer Games,3383
50,cceCdF5d0F05EFA,Dunlap-Bauer,https://www.herman.com/,Bosnia and Herzegovina,Cloned even-keeled capability,1997,Maritime,1394
51,3ADA64A6Abe79EB,Green-Harrington,http://www.hobbs.com/,Brunei Darussalam,Front-line incremental encryption,2006,Research Industry,2014
52,D22AB5dce3Bb8CA,"Deleon, French and Winters",http://www.molina.biz/,Namibia,Inverse multi-state database,2016,Performing Arts,3607
53,855e3F51d3E2aFe,Travis PLC,https://www.conner.com/,Guam,Switchable bandwidth-monitored complexity,2000,Education Management,1221
54,94A95d05E6Cf485,Coffey-Pitts,https://www.frost-mccullough.com/,Solomon Islands,Compatible upward-trending methodology,1979,Computer / Network Security,8812
55,D7fcCA1F9E8d7Ee,Dixon Group,http://www.frank-mcgee.com/,Botswana,Inverse context-sensitive structure,1990,Aviation / Aerospace,8892
56,7fb51b44D3fDfea,Bond-Mueller,https://www.gill.com/,Aruba,De-engineered encompassing access,2003,Financial Services,5335
57,7059ade3bfbA2Db,Vaughan LLC,http://www.mueller.com/,Uganda,Reactive executive intranet,1972,Capital Markets / Hedge Fund / Private Equity,5424
58,2A5292bc42D97A3,"Atkinson, Castro and Guzman",https://www.frye-wood.net/,Anguilla,Cross-platform coherent structure,1973,Medical Practice,1191
59,5192Bef5FE8c05c,Pham-Joyce,http://shannon.com/,Tonga,Reverse-engineered asymmetric utilization,2000,Broadcast Media,9800
60,407a3CEc06B08B0,"Mcdonald, Shields and Patton",http://www.andrews.com/,Saint Martin,Enterprise-wide actuating database,2016,Sports,6926
61,47AB36F90C13F47,Kemp-Wu,https://bruce.com/,Jordan,Fundamental 6thgeneration installation,2000,Staffing / Recruiting,414
62,f4CbacD4De52CBE,Guzman PLC,http://www.norman.info/,Malta,Universal heuristic neural-net,2020,Package / Freight Delivery,4491
63,2FAfe3ef21F5ACa,Hampton-Valentine,https://rojas.com/,Ghana,Decentralized non-volatile implementation,1978,Recreational Facilities / Services,8891
64,5Ff4913D1494f81,"Craig, Everett and Carr",http://becker-pineda.org/,Guinea-Bissau,Up-sized client-driven instruction set,1973,Glass / Ceramics / Concrete,3754
65,A7fEaa35d76543C,"Massey, Riggs and Hensley",https://www.lane-schultz.com/,Central African Republic,Monitored tangible flexibility,1997,Import / Export,9158
66,Da6Efb7fdD040dc,Carpenter-Salas,https://ali.com/,Nigeria,Cross-platform bandwidth-monitored access,2003,Construction,8526
67,DEa8DB0aFFF5cEc,"Avila, Pace and Bell",https://www.clarke.com/,Portugal,Up-sized contextually-based challenge,2013,Computer / Network Security,8670
68,eFFF053d89f1D27,Thompson Group,http://www.mercer.com/,Hong Kong,Multi-channeled bottom-line middleware,2002,International Trade / Development,7915
69,A5D33ED3Cecfe5B,Macias-Austin,https://collins.com/,Papua New Guinea,Programmable reciprocal success,1995,Textiles,4982
70,Aff6EeaA9F59aff,"Patel, Villanueva and Peters",http://vega.biz/,Yemen,Profound analyzing array,1980,Photography,5515
71,0C491Ff6DebaE15,Haynes-Aguilar,http://olson.com/,Saint Martin,Versatile didactic access,2009,Media Production,3963
72,ECA5dA50A1cC515,Mcgee Inc,https://white-campbell.com/,Denmark,Open-architected analyzing implementation,1998,Religious Institutions,1845
73,B668E5fae57eeaA,Frye-Thompson,https://www.brooks-payne.org/,Panama,Right-sized hybrid task-force,2005,Consumer Electronics,3313
74,7d5dd67aabBC5E5,Hubbard-Gould,http://www.leon.com/,Norway,Managed clear-thinking alliance,1989,Human Resources / HR,1284
75,10fA5D2DBEeDdCD,"Walls, Mack and Burton",http://www.foster.com/,Malaysia,Persistent user-facing access,2020,Utilities,8312
76,7Dc8C4867bfFfDe,Conway-Villarreal,https://ramirez.info/,Turkmenistan,Networked attitude-oriented product,2012,Chemicals,4392
77,BE50905E5BAcc37,Davidson Ltd,http://woodard.com/,Tuvalu,Reverse-engineered solution-oriented knowledge user,1997,Government Relations,7062
78,d32c95AFdC64EC1,Beltran-Ball,http://parsons.com/,Bahrain,Organized executive complexity,2004,Wine / Spirits,2825
79,3dd0b28aa47a37E,"Avila, Hensley and Lynch",http://www.house-mccormick.com/,Puerto Rico,Seamless heuristic architecture,2020,Venture Capital / VC,3067
80,8FABe7bC9a7Af9f,"Durham, Tapia and Gentry",https://www.mays.com/,Wallis and Futuna,Implemented upward-trending moratorium,2004,E - Learning,4868
81,8F3f1ffe2F4C02D,Mcintyre PLC,http://www.kidd.com/,Uganda,Expanded fresh-thinking analyzer,1975,E - Learning,6459
82,0a24Fe849bcDffa,Hogan-Leach,https://vega.org/,Iceland,Reduced exuding pricing structure,1998,Newspapers / Journalism,6747
83,eF2339d7D043D31,Jennings-Wilkins,https://www.morrow-horton.com/,Paraguay,Robust optimizing protocol,1971,Political Organization,4722
84,7ab0c6Fd9EAbcFb,Kirk-Key,https://www.davies.com/,Brazil,Vision-oriented actuating moratorium,2008,Hospital / Health Care,507
85,f739bbbf823103F,Freeman Ltd,https://www.keith-bishop.org/,Israel,Automated zero administration Graphical User Interface,1974,Plastics,4680
86,5C9fD7c26de5f85,"Murillo, Bowen and Sanford",http://friedman-barton.net/,Haiti,Visionary 3rdgeneration utilization,1995,Automotive,8623
87,5A1C126D12A57eE,"Cook, Fox and Santana",http://www.montoya-todd.com/,Maldives,Robust scalable protocol,2011,Luxury Goods / Jewelry,1868
88,bF26deAf5a6Ae8D,Bridges Ltd,https://booker.org/,Iran,Monitored fresh-thinking complexity,1972,Cosmetics,3178
89,DbE8CaFfd8BA86A,"Stafford, Rodriguez and Nichols",https://www.stanton.biz/,Senegal,Extended asymmetric definition,2015,Security / Investigations,4690
90,3954AacACBE0A9f,"Faulkner, Ashley and Hoffman",https://www.conway-schneider.com/,Tajikistan,Function-based tangible middleware,1993,Capital Markets / Hedge Fund / Private Equity,4524
91,D54c80bB58BE92e,"Phelps, Ponce and Jacobson",https://www.aguilar.com/,Japan,Adaptive well-modulated orchestration,1981,Telecommunications,637
92,40Ae0C03004dF84,Bolton-Norton,http://www.willis.biz/,Mauritius,Innovative 6thgeneration capability,1987,Publishing Industry,4171
93,bEc7E35D86CaAbE,Solomon-Davis,https://www.leonard-lyons.org/,Palestinian Territory,Face-to-face real-time website,2001,Health / Fitness,2370
94,36e2Cc56eBaE981,Todd Ltd,http://robles-stewart.net/,Armenia,Optimized mobile customer loyalty,2011,Staffing / Recruiting,988
95,F37Cb4cEBbF0d72,Roach Ltd,https://velez-schmitt.info/,Qatar,Polarized well-modulated complexity,2017,Semiconductors,3224
96,Dc68b91FED12AB8,Swanson-Singleton,http://www.nolan-smith.biz/,Mongolia,Object-based bottom-line matrices,1979,Religious Institutions,3630
97,c8eD5Eef1fd69F2,Ellis Ltd,https://www.kramer.biz/,Iceland,Cloned regional support,1992,Other Industry,490
98,1Bc8B5CCdCd3C49,"Whitaker, Moss and Manning",http://www.preston.com/,Tanzania,Enterprise-wide secondary system engine,1996,Consumer Electronics,5667
99,fBBD37CFCB26Aff,"Wright, Hurley and Garcia",https://www.noble-meyer.com/,Cameroon,Enterprise-wide composite policy,1982,Sports,8426
100,a92d3dBff79c23F,Singleton Group,http://hodge-bradley.biz/,South Africa,Enterprise-wide needs-based Graphic Interface,2016,Internet,299
101,7E1a9aA91Bbb31D,"Obrien, Norton and Zamora",https://www.gaines-delacruz.com/,Tokelau,Quality-focused 4thgeneration customer loyalty,2007,Railroad Manufacture,9795
102,65dDdBE3Bc47C39,Maddox LLC,https://www.lynch-moyer.org/,Libyan Arab Jamahiriya,Innovative bi-directional product,1982,Government Relations,7151
103,479b77B196D3D6E,"Steele, Good and Haynes",http://www.malone-dean.com/,Kenya,Automated explicit orchestration,2016,Animation,649
104,dd24fA4a6aaa1f9,Fitzgerald-Richards,https://frank.com/,Nepal,Multi-lateral asymmetric groupware,1997,Law Practice / Law Firms,8253
105,61e09BDbc5eB6CC,Golden-Charles,https://arroyo.com/,Cyprus,Optimized web-enabled groupware,2015,Cosmetics,4395
106,A6DD6B4e6cc8EdB,"Quinn, Pollard and Gould",http://david-hess.biz/,Colombia,Up-sized 24hour archive,2009,Leisure / Travel,692
107,085B264C1773cfc,Chaney LLC,http://www.briggs.com/,Rwanda,Optional next generation hub,1978,Computer / Network Security,8574
108,6cf0a8B24D3c48e,Norman PLC,https://www.velazquez.biz/,Madagascar,Persevering incremental structure,1980,Automotive,9077
109,F6CEbBb3FaFAb4a,Cabrera Ltd,http://www.houston-evans.net/,Ecuador,Focused value-added concept,2015,Warehousing,6737
110,C223EBA3FA96F26,Mcfarland Ltd,http://www.patrick-burch.info/,Congo,Optional analyzing initiative,1975,Leisure / Travel,9009
111,69Fc5f9cB1b35aE,"Solomon, Abbott and Warner",https://www.blair-vasquez.net/,Western Sahara,Future-proofed discrete moratorium,2005,Mining / Metals,8200
112,cFc734E4C4Ed1FE,Marsh-Carey,http://www.howe-serrano.com/,China,Managed secondary approach,2000,International Affairs,8338
113,a8Eeed294912c7e,Krause Inc,https://hall.com/,India,Fundamental actuating service-desk,1983,Arts / Crafts,3754
114,f2ffecfCf028e6b,Avila-Kirby,http://pearson.net/,China,Programmable directional conglomeration,1973,Business Supplies / Equipment,3807
115,1fcB06AC3AAEbC0,"Alvarado, Strong and Bright",https://www.fitzgerald-russell.org/,Iran,Open-source web-enabled extranet,1998,Luxury Goods / Jewelry,5836
116,6bDc4a35363DeA8,Burnett PLC,https://nolan.com/,South Africa,Down-sized grid-enabled emulation,1970,Professional Training,5370
117,Dbd243A3efB56AA,Gross Inc,http://stein.com/,Argentina,Secured intermediate encryption,1999,Pharmaceuticals,9996
118,2AAbDcEac82F9FB,"Pierce, Hill and Russo",http://www.lynn.com/,Lebanon,Extended client-driven knowledgebase,1983,Media Production,5039
119,f5dFB640aEc6a25,Ochoa-Miles,https://serrano.net/,Albania,Managed heuristic challenge,1991,Music,9749
120,276Bf7EE0cf4fd5,"Golden, Shields and Navarro",https://www.massey.net/,Bermuda,Programmable 3rdgeneration emulation,2008,Package / Freight Delivery,700
121,aeBCE035DBe7B63,"Miranda, Griffin and Knox",http://www.gardner-atkinson.com/,Burkina Faso,Customizable disintermediate system engine,1993,Electrical / Electronic Manufacturing,3788
122,80d7a0baEeF1BFa,Daugherty and Sons,http://www.galloway.com/,Tajikistan,Diverse global toolset,1982,Restaurants,2749
123,Bde5315C6Bb609d,Barnes-Mcknight,http://www.blair.biz/,Israel,Profit-focused attitude-oriented protocol,1974,Civic / Social Organization,6797
124,e9eAc7b52Aa4355,Adkins Inc,https://www.perez.com/,Holy See (Vatican City State),Future-proofed tangible matrices,2019,Industrial Automation,1910
125,BF1FBDAEDc8Dd5B,"Morales, Suarez and Duran",http://www.stone.com/,Luxembourg,Ameliorated local model,2012,Military Industry,2600
126,e5FeAcf06EFFa20,Bell-Adkins,http://montoya.com/,Saint Pierre and Miquelon,Phased radical artificial intelligence,2014,Nanotechnology,3720
127,8B4fB8bEEf4fa8C,Woodard-Mccarty,https://www.armstrong-fox.com/,Vietnam,Profit-focused bandwidth-monitored access,2016,Computer Software / Engineering,3898
128,Bf1a9fEFBaFDC50,"Robinson, Anderson and Oconnell",https://www.mcmahon-nielsen.com/,San Marino,Quality-focused real-time matrices,1979,E - Learning,628
129,0D129A21C0207DE,Dunn-Weiss,http://www.walton.com/,Rwanda,Open-architected bandwidth-monitored info-mediaries,2000,Food / Beverages,1504
130,4121dAFE8DfB8fE,Glover-David,https://sampson.org/,Costa Rica,Switchable system-worthy software,1980,Oil / Energy / Solar / Greentech,1283
131,E6Ea4E3f5e1ECEe,"Schwartz, Hill and Shea",http://cantrell.com/,British Indian Ocean Territory (Chagos Archipelago),Decentralized well-modulated array,1989,Apparel / Fashion,2179
132,4a985FAbBcC2d4d,Estrada Inc,https://www.owen.com/,Uruguay,Expanded composite migration,2010,Retail Industry,8709
133,C5AAb5ce64A9D83,Klein-Guzman,https://craig.org/,Tunisia,Face-to-face bottom-line support,1975,Import / Export,8423
134,fF8B9cA04Da43CB,Benitez-Vazquez,http://www.sheppard.com/,Nauru,Seamless 24/7 circuit,2011,Animation,5991
135,21D36d172B5DaaE,Craig-Wilkerson,https://www.lawrence-roberson.org/,Suriname,Pre-emptive secondary website,1994,Non - Profit / Volunteering,5663
136,AB5d88dA3e2b286,"Maynard, Park and Hinton",http://harmon.com/,Equatorial Guinea,Integrated composite Graphical User Interface,1976,Airlines / Aviation,304
137,Bd17d7F398dffBF,"Andersen, Roberson and Park",https://www.haney-montoya.info/,Serbia,Synergized encompassing interface,1985,Fishery,4446
138,9EdA0CD2BbDEfEA,Palmer-Bean,https://goodman.net/,Norway,Sharable solution-oriented alliance,1977,Telecommunications,5146
139,CE2ff6fBe76a332,"Hudson, Case and Acevedo",http://waller.com/,Vanuatu,Grass-roots background workforce,1975,Nanotechnology,8410
140,C44E0aFeFa95FA6,Maddox-Rios,http://www.benjamin.com/,Liberia,Quality-focused grid-enabled frame,1994,Alternative Dispute Resolution,2191
141,c2d10ccBd84a872,"Foley, Prince and Washington",http://carey.biz/,Serbia,Profit-focused 4thgeneration framework,2015,Computer Software / Engineering,6843
142,92B98660a057dB3,Sutton-Gay,https://www.lynn-wall.info/,Iceland,Expanded eco-centric approach,1970,Apparel / Fashion,1214
143,f950b97a2DCC3DB,"Vega, Greene and Maynard",http://www.lamb-hernandez.com/,Namibia,Digitized encompassing project,1977,Wireless,9926
144,3a2E0A98a85CcFC,Bradley PLC,http://brady-bowers.info/,Iceland,User-centric motivating firmware,2015,Package / Freight Delivery,4903
145,6ACac4fFCcfd27e,Ross-Burton,http://preston.biz/,Timor-Leste,Self-enabling interactive extranet,1988,Fundraising,1488
146,d16Fd817ddECceE,Young Ltd,https://www.dudley.com/,Malawi,Organic object-oriented throughput,1978,Cosmetics,1009
147,50fCf1EFafCBF29,Mathews-Watkins,http://www.robertson.com/,Bhutan,Total grid-enabled superstructure,2013,Retail Industry,3447
148,c3CDf4cAbB70ae8,"Becker, Randall and Paul",http://www.snow.com/,Namibia,Visionary disintermediate capacity,2013,Program Development,8777
149,28dBFB2d2cd72f0,"Hill, Moody and Costa",https://www.mcclain.com/,Guernsey,Switchable clear-thinking matrix,1996,Nanotechnology,8043
150,BDd3bfc1AA9e7d9,Acosta-Preston,https://goodwin.com/,Ethiopia,Stand-alone demand-driven middleware,1971,Events Services,1450
151,6BC58BE3bEc8269,Mack-Keller,https://www.king.com/,Niue,Profound content-based framework,2002,Warehousing,9067
152,55ed990C71e3AD0,Sellers-Bender,https://www.travis.net/,Northern Mariana Islands,Re-engineered 3rdgeneration contingency,2007,Accounting,9638
153,EDABf6DFCae6afF,Landry-Browning,http://bernard-wall.com/,Barbados,Re-engineered multimedia core,1991,Legal Services,4051
154,d9DEe5cFa17bced,"Patterson, Mccall and Gordon",https://lawrence.biz/,Monaco,De-engineered explicit algorithm,2005,Fishery,3498
155,EDec2aEFE1eaf51,Serrano Group,https://griffith-alexander.net/,Estonia,Cross-platform logistical middleware,1996,Biotechnology / Greentech,2782
156,A2AfcfDAABC96b8,"Anthony, Simpson and Wilkerson",https://mcclain-larson.com/,United States Virgin Islands,Multi-lateral zero tolerance access,1975,Utilities,7489
157,BbddA59DF29326C,Parker-Blackwell,https://cordova.net/,British Indian Ocean Territory (Chagos Archipelago),Re-engineered real-time forecast,2019,Logistics / Procurement,6399
158,760D7f2cD7EE8da,Gonzales LLC,http://www.gallegos.net/,Bosnia and Herzegovina,Balanced static time-frame,2017,Computer Games,6395
159,f1387BdBE69ED24,Clayton-Richardson,https://foster.info/,Portugal,Seamless zero tolerance hardware,2006,Program Development,8253
160,2Ce77a02B2eC6a9,Rowland-Henry,https://www.boone.biz/,Malawi,Focused upward-trending structure,1982,Packaging / Containers,1594
161,2528c25fCe8B1Bc,Fitzpatrick-Shelton,https://waters-murillo.com/,Bangladesh,Adaptive user-facing secured line,2006,Translation / Localization,2123
162,455AC23077eBe68,Reyes Ltd,https://www.jordan-ingram.com/,Sao Tome and Principe,Organic upward-trending hierarchy,1976,Environmental Services,3535
163,a8DCbB65B543a8B,Mccall LLC,https://www.bailey.com/,South Africa,Cloned methodical contingency,2013,Hospital / Health Care,1911
164,eEc00Bd5cD06a5c,Herman-Haney,http://www.jackson.org/,Gabon,Progressive logistical alliance,1981,Packaging / Containers,448
165,bDd4c0704Aab1Be,Knox-Parker,https://leonard.com/,Central African Republic,Devolved transitional data-warehouse,2006,Music,7343
166,1122E9bd1edD030,Clarke LLC,http://www.pham.com/,Jamaica,Enterprise-wide 6thgeneration standardization,2018,Medical Equipment,8769
167,208Ca768a30Bf49,"Marshall, French and Wilkerson",http://www.morse-tran.com/,Myanmar,Cross-group hybrid synergy,2021,Veterinary,1483
168,31efe62eE9E1fbd,"Bird, Zamora and Hammond",http://ballard.net/,Hong Kong,Diverse multi-tasking capability,2016,Environmental Services,3345
169,35D85dcC9a2A7C8,Silva-Walls,http://www.schmidt.info/,Holy See (Vatican City State),Extended cohesive software,1992,Higher Education / Acadamia,2577
170,53fcfC946E9Fa89,"Hayden, Bender and Stanley",https://www.newton.com/,Azerbaijan,Cross-platform optimizing complexity,2011,Biotechnology / Greentech,7093
171,f5190BDfE8e1354,"Woodard, Welch and Cabrera",https://www.lynch-frank.com/,British Virgin Islands,Distributed intangible project,1987,International Affairs,7598
172,6e8fDf4EFDBd030,"Ruiz, Frye and Tran",https://dickson.com/,Trinidad and Tobago,Adaptive upward-trending alliance,2001,Government Relations,6208
173,4cb3ba8E0Fcec44,Herring Group,https://www.maxwell.com/,Zimbabwe,Reduced secondary open architecture,1993,Staffing / Recruiting,4792
174,97bA5Bf35A92c6E,Kane-Sweeney,http://www.garrett.com/,Antigua and Barbuda,Total radical installation,1998,Civil Engineering,2010
175,bb23aBBdFcB355D,Prince-Pearson,http://www.anthony.com/,Seychelles,Open-source encompassing solution,1987,Accounting,2161
176,7F16bac67BACAbB,Mullins-Pollard,https://hayes.com/,Palau,Function-based human-resource portal,2013,Cosmetics,6508
177,52d10339a66E5f3,"Herring, Zavala and Wade",http://ewing.com/,Mexico,Assimilated impactful core,2005,Gambling / Casinos,5216
178,5a9baCE3bE0eeC4,Watkins-Sharp,http://fletcher.com/,Niue,Extended bi-directional software,1972,Program Development,550
179,fe4a35d63b1f115,Bradley LLC,https://cameron-hester.com/,Lesotho,Exclusive motivating toolset,2008,Photography,1933
180,DEbF4FfC9926EDb,Hall Inc,https://www.klein-robbins.com/,Saint Kitts and Nevis,Visionary solution-oriented parallelism,1980,Automotive,9999
181,0B3cdF68FF0E3B3,Weiss Ltd,http://www.le.info/,Peru,Cloned fault-tolerant installation,1987,Design,2529
182,eAdEFAA511FFB0C,Rosario Inc,https://www.mcmillan.com/,Colombia,Extended 4thgeneration encoding,1977,Graphic Design / Web Design,5417
183,a4D8DAFB1A5AcB0,Cantrell-Clements,http://salinas.net/,Heard Island and McDonald Islands,Operative discrete circuit,2012,Consumer Electronics,3729
184,F5a9414F62eD0E6,"Morton, Carlson and Meza",https://johnson.net/,Faroe Islands,Front-line dedicated paradigm,2006,Computer Games,1017
185,BBe1FbE2eDA8930,Blanchard-Bautista,http://www.browning.com/,Guatemala,Persevering holistic moratorium,2016,Mining / Metals,3749
186,7Cea9a8F674A17a,"Beard, Wu and Fitzpatrick",https://burnett.net/,Iraq,Multi-tiered system-worthy attitude,2000,Alternative Dispute Resolution,7247
187,1BeBaFcf3AebB22,"Pitts, Welch and Gamble",https://manning.com/,Haiti,Persevering grid-enabled intranet,2001,Executive Office,9195
188,1FE8f9ce9BcBe20,"Cochran, Tucker and Cooper",http://watkins.com/,Armenia,Horizontal tertiary solution,1987,Leisure / Travel,8976
189,C9Fa0338dFCd891,Gomez Group,http://www.sherman-allison.info/,Austria,Realigned global infrastructure,1999,Real Estate / Mortgage,5737
190,6AA54452e2ad8Af,Page Inc,http://www.lambert.com/,Dominican Republic,Inverse background encryption,2018,Renewables / Environment,7816
191,Aa1a81ce35bf3aD,Walsh Ltd,https://www.adams.com/,Egypt,Profound real-time parallelism,1994,Events Services,848
192,EbE9C13Cae1e317,"Vance, Contreras and Hart",https://www.oneal-macdonald.com/,Oman,Synergized asymmetric framework,1980,Restaurants,7211
193,6de7fbccfADfcEB,Riley-Walters,http://www.house.net/,Lao People's Democratic Republic,Streamlined methodical circuit,1987,Ranching,8648
194,59a289BcF9317CD,Morrow-Graham,http://sutton-weeks.com/,Slovakia (Slovak Republic),Profit-focused demand-driven encoding,1981,Industrial Automation,8873
195,45a48C472f9aEFD,Hays-Ramsey,https://ferguson-knox.com/,Syrian Arab Republic,Face-to-face multi-tasking time-frame,1970,Hospital / Health Care,8520
196,48Abe49DA6ddF71,Craig Group,http://bautista.net/,Turks and Caicos Islands,User-friendly encompassing orchestration,2013,Motion Pictures / Film,1702
197,1dF7dcAFDd5f4A1,"Bates, Campos and Mack",https://www.vincent-church.com/,American Samoa,Progressive 24hour data-warehouse,1988,Higher Education / Acadamia,6049
